model_name,dataset_name,batch_size,lr,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
bert-base-multilingual-cased,jsnli+nu-snli,64.0,1e-05,0.0,1365.3333333333333,82.70918455918776,81.60467414580364,76.5373357343966,72.60391784825892,76.91530924281972,3
bert-base-multilingual-cased,jsnli+nu-snli,64.0,3e-05,0.0,768.0,82.38510847790587,81.19178070960008,76.17905733694514,72.16672838623307,76.51252214425944,3
bert-base-multilingual-cased,jsnli+nu-snli,64.0,5e-05,0.0,597.3333333333334,82.04370945049477,80.89506279946306,75.85230103079338,72.29136604466801,76.34624329164149,3
bert-base-multilingual-cased,jsnli+nu-snli,128.0,1e-05,0.0,938.6666666666666,83.02720923765851,81.82417575436385,76.22705220681792,72.49147527048865,76.84756774389014,3
bert-base-multilingual-cased,jsnli+nu-snli,128.0,3e-05,0.0,512.0,83.04326964890532,81.66367022417474,76.01676024628337,72.47310227858611,76.7178442496814,3
bert-base-multilingual-cased,jsnli+nu-snli,128.0,5e-05,0.0,426.6666666666667,82.76273043847839,81.64729045674797,76.32153341978456,72.39483871917166,76.78788753190139,3
bert-base-multilingual-cased,jsnli+nu-snli,256.0,1e-05,0.0,704.0,83.23814333612263,82.07618356870233,76.67361044320197,72.92023104460971,77.22334168550468,3
bert-base-multilingual-cased,jsnli+nu-snli,256.0,3e-05,0.0,384.0,83.192620674939,81.98107759926336,76.2569104848646,72.4164468685815,76.88481165090316,3
bert-base-multilingual-cased,jsnli+nu-snli,256.0,5e-05,0.0,277.3333333333333,83.04389553443202,81.74691728409731,76.41156268309517,72.61047789110405,76.9229859527655,3
bert-base-multilingual-cased,jsnli+nu-snli,512.0,1e-05,0.0,522.6666666666666,83.36462470753348,82.17285582751964,76.6776643232575,73.0717406151024,77.3074202552932,3
bert-base-multilingual-cased,jsnli+nu-snli,512.0,3e-05,0.0,234.66666666666666,83.21150991104322,81.99029193130893,76.7539833883633,73.12696049306591,77.29041193757938,3
bert-base-multilingual-cased,jsnli+nu-snli,512.0,5e-05,0.0,181.33333333333334,83.06764454810569,81.79374904497426,76.31909876083654,72.7065979590871,76.93981525496596,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,64.0,1e-05,0.0,853.3333333333334,81.60210881946473,80.88326388146903,76.7308615799139,74.41038522859031,77.34150356332441,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,64.0,3e-05,0.0,512.0,81.3404221828389,80.56660295943603,76.80282478360904,74.45028863914591,77.27323879406366,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,64.0,5e-05,0.0,512.0,81.06425220512126,80.2373244892028,77.24405487711202,74.64759312346925,77.37632416326136,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,128.0,1e-05,0.0,512.0,81.9068739019567,81.2464497289901,77.24559252447071,74.59425777160767,77.69543334168951,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,128.0,3e-05,0.0,341.3333333333333,82.15967777994756,81.46180597001381,77.09062746135697,74.48433356331044,77.67892233156041,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,128.0,5e-05,0.0,256.0,81.43596245981392,80.77396563881958,77.24307166825794,74.62316438479557,77.54673389729103,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,256.0,1e-05,0.0,362.6666666666667,82.37823589803885,81.65964780588358,77.21581795528259,74.66488319240251,77.8467829845229,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,256.0,3e-05,0.0,192.0,82.0097052685447,81.33611608939854,76.93052818259336,74.30016306528422,77.52226911242538,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,256.0,5e-05,0.0,149.33333333333334,82.1949165680167,81.6446182606329,76.79403916702627,74.04749238326,77.49538327030639,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,512.0,1e-05,0.0,224.0,82.17663997560975,81.37840420479954,77.34803399247009,74.63600664716755,77.78748161481239,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,512.0,3e-05,0.0,117.33333333333333,82.22086374270397,81.39750866724147,76.78200277799762,74.19337844641473,77.4576299638846,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,512.0,5e-05,0.0,96.0,82.13205675828878,81.28465265037367,77.10831853976043,74.4023409098358,77.59843736665664,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,64.0,1e-05,0.0,1280.0,82.0309078172544,80.62332968555991,76.68153700353703,73.66220257608389,76.98902308839361,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,64.0,3e-05,0.0,768.0,81.86512687331536,80.51957856100596,76.91978508412537,73.9110277134525,77.11679711952793,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,64.0,5e-05,0.0,512.0,82.04323491250233,80.49428213449802,76.384105826256,73.05730845373142,76.64523213816182,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,128.0,1e-05,0.0,810.6666666666666,82.21711263615812,80.69572496028029,76.91877399845724,73.75944897703896,77.1246493119255,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,128.0,3e-05,0.0,469.3333333333333,81.99224859807693,80.55692028921344,76.51040669388641,73.24637629151782,76.77123442487255,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,128.0,5e-05,0.0,384.0,81.8862249498248,80.38638835326644,76.56146148229959,73.49432731384428,76.81405904980345,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,256.0,1e-05,0.0,533.3333333333334,82.5004422996178,81.0453816241929,77.14372646473385,73.92020447918131,77.36977085603603,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,256.0,3e-05,0.0,298.6666666666667,82.07774554638321,80.65210594329169,76.72712692765359,73.5586992586611,76.97931070986878,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,256.0,5e-05,0.0,256.0,82.15364322601421,80.75226112741689,76.81367701926739,73.92654853722347,77.16416222796924,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,512.0,1e-05,0.0,405.3333333333333,82.167497643081,80.84085466838502,77.11721244959729,73.98834847100001,77.31547186299412,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,512.0,3e-05,0.0,202.66666666666666,82.23011598260724,80.95075693125108,77.22769381452981,74.06031266555841,77.41292113711312,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,512.0,5e-05,0.0,160.0,82.30904439031723,80.85368736447235,76.97762639173118,73.69197336509974,77.17442904043442,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,64.0,1e-05,0.0,853.3333333333334,83.10005993546527,81.93284437447299,77.6694007980821,74.50213580214991,78.034793658235,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,64.0,3e-05,0.0,597.3333333333334,82.93480754161317,81.66461434158772,77.85517412527547,74.50658817494156,78.00879221393491,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,64.0,5e-05,0.0,426.6666666666667,83.01446427959512,81.69340457132887,77.41431521071037,74.18121752531972,77.762979102453,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,128.0,1e-05,0.0,640.0,83.18811660524648,81.85289845633571,77.75933522554665,74.4695010439334,78.02724490860525,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,128.0,3e-05,0.0,384.0,82.96899346250638,81.70724758557145,77.69037755919501,74.39124263070254,77.92962259182299,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,128.0,5e-05,0.0,341.3333333333333,83.13019176776639,81.8318263705646,77.29428772778095,74.51317481182961,77.8797629700584,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,256.0,1e-05,0.0,448.0,83.43547301937866,82.00890199300741,78.17864400811874,74.75469367402087,78.31407989171568,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,256.0,3e-05,0.0,277.3333333333333,83.33445533359348,81.76097038644475,77.781475178441,74.41681579407184,77.98642045298585,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,256.0,5e-05,0.0,149.33333333333334,83.08982049409873,81.73262189358256,77.52612459499777,74.07145249052746,77.77673299303594,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,512.0,1e-05,0.0,330.6666666666667,83.45405006068802,82.01086513765955,78.28225652408766,74.8164381975041,78.3698532864171,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,512.0,3e-05,0.0,202.66666666666666,83.43843905758028,81.99935226355694,77.91838834063968,74.51176949295233,78.143170032383,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,512.0,5e-05,0.0,160.0,83.14465479947086,81.65915518771276,78.00488275850587,74.62558252688903,78.09654015770255,3
cl-tohoku/bert-base-japanese-v2,jsnli+nu-snli,64.0,1e-05,0.0,853.3333333333334,83.3693272799362,82.50873830139453,79.57124216368935,76.04518830563784,79.37505625690723,3
cl-tohoku/bert-base-japanese-v2,jsnli+nu-snli,64.0,3e-05,0.0,512.0,83.32010308542218,82.50180564479595,79.59140830096847,76.13088852114886,79.40803415563776,3
cl-tohoku/bert-base-japanese-v2,jsnli+nu-snli,64.0,5e-05,0.0,426.6666666666667,82.94921230512823,82.01887305693691,79.41344585608591,76.17165087655643,79.20132326319307,3
cl-tohoku/bert-base-japanese-v2,jsnli+nu-snli,128.0,1e-05,0.0,512.0,83.56691642369829,82.73452885934843,79.49311120714167,75.83287779873133,79.3535059550738,3
